date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:26:51	381/381	---M--	200	added ('OK')	text/plain	date:Thu,%2013%20Oct%202022%2013:26:50%20GMT	https://www.firstclass-concierge.com/robots.txt		(from )
14:26:51	694234/694234	---MCZ	200	added ('OK')	text/html	etag:W/%220291c882f181b34335e5cc1245f3e459%22	https://www.firstclass-concierge.com/?gclid=CjwKCAjw7p6aBhBiEiwA83fGui5Ei88Wzu6XzZyCXypHDnPMCy6evv9fjZ3u-a8Hjx3N7jM_82PwOxoChpAQAvD_BwE	C:/Users/User/OneDrive/Documents/My%20Web%20Sites/WebSite1/Quality%20Conceirge/www.firstclass-concierge.com/index0ae9.html	(from )
14:26:51	1500/1500	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Oct%202022%2021:23:25%20GMT	https://static.wixstatic.com/media/211a07_08fc5b671ede441cb6317c5013acc530~mv2.jpg/v1/fill/w_32%2Ch_32%2Clg_1%2Cusm_0.66_1.00_0.01/211a07_08fc5b671ede441cb6317c5013acc530~mv2.jpg	C:/Users/User/OneDrive/Documents/My%20Web%20Sites/WebSite1/Quality%20Conceirge/static.wixstatic.com/media/211a07_08fc5b671ede441cb6317c5013acc530_mv2.jpg/v1/fill/w_32,h_32,lg_1,usm_0.66_1.00_0.01/211a07_08fc5b671ede441cb6317c5013acc530_mv2.0	(from https://www.firstclass-concierge.com/?gclid=CjwKCAjw7p6aBhBiEiwA83fGui5Ei88Wzu6XzZyCXypHDnPMCy6evv9fjZ3u-a8Hjx3N7jM_82PwOxoChpAQAvD_BwE)
14:26:52	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Users/User/OneDrive/Documents/My%20Web%20Sites/WebSite1/Quality%20Conceirge/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.firstclass-concierge.com/?gclid=CjwKCAjw7p6aBhBiEiwA83fGui5Ei88Wzu6XzZyCXypHDnPMCy6evv9fjZ3u-a8Hjx3N7jM_82PwOxoChpAQAvD_BwE)
14:26:52	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/Users/User/OneDrive/Documents/My%20Web%20Sites/WebSite1/Quality%20Conceirge/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.firstclass-concierge.com/?gclid=CjwKCAjw7p6aBhBiEiwA83fGui5Ei88Wzu6XzZyCXypHDnPMCy6evv9fjZ3u-a8Hjx3N7jM_82PwOxoChpAQAvD_BwE)
14:26:52	65588/65588	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2005%20Oct%202022%2007:16:57%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/Users/User/OneDrive/Documents/My%20Web%20Sites/WebSite1/Quality%20Conceirge/polyfill.io/v3/polyfill.mind82c.js	(from https://www.firstclass-concierge.com/?gclid=CjwKCAjw7p6aBhBiEiwA83fGui5Ei88Wzu6XzZyCXypHDnPMCy6evv9fjZ3u-a8Hjx3N7jM_82PwOxoChpAQAvD_BwE)
14:26:53	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	C:/Users/User/OneDrive/Documents/My%20Web%20Sites/WebSite1/Quality%20Conceirge/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://www.firstclass-concierge.com/?gclid=CjwKCAjw7p6aBhBiEiwA83fGui5Ei88Wzu6XzZyCXypHDnPMCy6evv9fjZ3u-a8Hjx3N7jM_82PwOxoChpAQAvD_BwE)
14:26:53	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2013%20Oct%202022%2013:26:53%20GMT	https://www.firstclass-concierge.com/decodeURIComponent(e	C:/Users/User/OneDrive/Documents/My%20Web%20Sites/WebSite1/Quality%20Conceirge/www.firstclass-concierge.com/decodeURIComponent(e.5.delayed	(from https://www.firstclass-concierge.com/?gclid=CjwKCAjw7p6aBhBiEiwA83fGui5Ei88Wzu6XzZyCXypHDnPMCy6evv9fjZ3u-a8Hjx3N7jM_82PwOxoChpAQAvD_BwE)
14:26:54	378/378	---M--	200	added ('OK')	text/xml	date:Thu,%2013%20Oct%202022%2013:26:54%20GMT	https://www.firstclass-concierge.com/sitemap.xml	C:/Users/User/OneDrive/Documents/My%20Web%20Sites/WebSite1/Quality%20Conceirge/www.firstclass-concierge.com/sitemap.xml	(from https://www.firstclass-concierge.com/?gclid=CjwKCAjw7p6aBhBiEiwA83fGui5Ei88Wzu6XzZyCXypHDnPMCy6evv9fjZ3u-a8Hjx3N7jM_82PwOxoChpAQAvD_BwE)
14:26:54	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2013%20Oct%202022%2013:26:54%20GMT	https://www.firstclass-concierge.com/feed.xml	C:/Users/User/OneDrive/Documents/My%20Web%20Sites/WebSite1/Quality%20Conceirge/www.firstclass-concierge.com/feed.7.delayed	(from https://www.firstclass-concierge.com/?gclid=CjwKCAjw7p6aBhBiEiwA83fGui5Ei88Wzu6XzZyCXypHDnPMCy6evv9fjZ3u-a8Hjx3N7jM_82PwOxoChpAQAvD_BwE)
